code_key;q1;q2;q3;q4;q4a;q6;q7;q8;q9;q10;q11;q12;q13;q14;q14a;q15;q16;q17;q18;q20;q21;q22;q22a;q22b;q23;q24;q39;q40;q41;q42;q43;q44;q45;q45a;q73;q74;table30_2
1400179;;;;;;;الغفاري;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400180;;;;;;;الحيدرية;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400181;;;;;;;النضــال;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400182;;;;;;;التهــذيب;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400183;;;;;;;مالك الاشتر;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400184;;;;;;;حليف القرآن;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400185;;;;;;;اصحاب الكساء;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400186;;;;;;;السدير الأساسية;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400188;;;;;;;الاميــــر;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400189;;;;;;;التيسير;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400190;;;;;;;العاصفة;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400191;;;;;;;دعبل الخزاعي;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400193;;;;;;;دمشق الأساسية;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400194;;;;;;;الصادق;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400195;;;;;;;الجولان;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400196;;;;;;;الشهيد وهاب الطلقاني (الاجيال سابقا);1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400197;;;;;;;بغداد الأساسية;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400198;;;;;;;الصفاء;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400199;;;;;;;الغــري;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400200;;;;;;;الأقــدام;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400201;;;;;;;الامام الهادي الأساسية;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400202;;;;;;;عــــدن;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400203;;;;;;;مصطفى جواد;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400204;;;;;;;الانتصار;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400205;;;;;;;الوثبــــة;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400206;;;;;;;الشريف الرضي;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400207;;;;;;;المعرفة;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400208;;;;;;;الشعب;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400209;;;;;;;الصافي النجفي;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400210;;;;;;;بدر الكبرى;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
